,Date,End Score Diff,Map,Match ID,Team 1 ID,Team 2 ID,Winner,Recent Matches Score Difference,Past Encounters Score Difference,Common Opponents Average Score difference,Map Score Difference,Winner(predicted),Predicted Probability 0,Predicted Probability 1
39031,2018-02-03 00:00:00,9,Inferno,2318982,4608,4688,1,-0.31795420757281845,0.4298769940256028,0.4167475539532829,0.38941412680654514,1,0.3869539370557663,0.6130460629442337
39032,2018-02-03 00:00:00,4,Overpass,2318986,6651,4608,1,-0.31795420757281845,1.1741476342313057,-0.3905113074994082,0.04693663634270845,1,0.4052624273290296,0.5947375726709704
39033,2018-02-03 00:00:00,-3,Nuke,2318986,6651,4608,0,0.02055164983301453,0.98807997417988,-0.3905113074994082,0.6696039299646789,1,0.38516407773447403,0.614835922265526
39034,2018-02-03 00:00:00,2,Train,2318986,6651,4608,1,-0.23332774322136055,0.5694277390641721,-0.3905113074994082,-0.20283194850272426,1,0.454550881305008,0.545449118694992
39037,2018-02-03 00:00:00,10,Inferno,2318983,6978,5991,1,1.2053221507534293,1.1741476342313057,-1.0356269337332904,-0.6451833684926123,1,0.4172546672211943,0.5827453327788057
39038,2018-02-05 00:00:00,10,Cache,2319039,8120,7820,1,0.8668162933475964,1.1121250808808307,0.5183913500792875,0.01736954627836425,1,0.3021400969746606,0.6978599030253394
39039,2018-02-04 00:00:00,-5,Inferno,2319033,6947,7653,0,0.18980457853593083,0.29455505944274785,0.189413312841473,-0.37538567388181604,1,0.4191102226175578,0.5808897773824422
39040,2018-02-04 00:00:00,2,Train,2319033,6947,7653,1,-0.2333277432213601,0.18178678062370196,0.189413312841473,0.42949793717336004,1,0.41727194177323335,0.5827280582267667
39041,2018-02-04 00:00:00,2,Cobblestone,2319033,6947,7653,1,-0.31795420757281845,0.1865577462660462,0.189413312841473,0.052211947476081474,1,0.43285001282175184,0.5671499871782482
39044,2018-02-04 00:00:00,-8,Cobblestone,2319108,7157,7783,0,-0.48720713627573475,0.98807997417988,1.3914045453585393,-0.8761350274013213,1,0.32477617131364,0.67522382868636
39045,2018-02-04 00:00:00,14,Train,2319108,7157,7783,1,0.02055164983301453,-0.3143936461800999,1.3914045453585393,0.43584035962445156,1,0.3535513054900481,0.6464486945099519
39047,2018-02-05 00:00:00,2,Mirage,2319126,6134,8572,1,1.543828008159262,2.2905535945398596,0.30470401985403117,-0.6599411490684651,1,0.24230831553888588,0.7576916844611141
39051,2018-02-06 00:00:00,-13,Cobblestone,2319132,4501,8120,0,-1.9258570302505247,-0.5004613062315256,-0.8418229316071405,-0.14352959901560083,0,0.6329561721067456,0.36704382789325435
39053,2018-02-06 00:00:00,12,Cache,2318829,8654,7421,1,-0.5718336006271927,-0.5004613062315256,0.36862758017782576,-3.569934817537615,0,0.6021744513919225,0.39782554860807745
39054,2018-02-06 00:00:00,6,Cobblestone,2318829,8654,7421,1,0.7821898289961384,0.8020123141284543,0.36862758017782576,0.03717380555584661,1,0.3348103653308284,0.6651896346691716
39056,2018-02-03 00:00:00,-4,Cache,2319006,6242,8563,0,1.6284544725107206,2.662688914642711,0.36862758017782576,3.019088114868992,1,0.1434375207979548,0.8565624792020452
39057,2018-02-03 00:00:00,10,Inferno,2319006,6242,8563,1,1.2899486151048878,0.8950461441541672,0.36862758017782576,3.8045727415041637,1,0.21239426419907026,0.7876057358009297
39058,2018-02-03 00:00:00,7,Mirage,2319006,6242,8563,1,1.7130809368621784,1.1741476342313057,0.36862758017782576,2.8169669598342106,1,0.20951841917635805,0.790481580823642
39059,2018-02-05 00:00:00,2,Cache,2319146,7787,7489,1,-2.687495209413648,-1.1516981164115154,-1.1740610089697505,-0.8592219008650775,0,0.743576396662209,0.256423603337791
39060,2018-02-07 00:00:00,6,Mirage,2319198,6652,4688,1,-0.9949659223844841,-0.9656304563600897,-0.5437553119020839,-0.2039184143254088,0,0.610247925897217,0.389752074102783
39061,2018-02-04 00:00:00,-2,Cobblestone,2319054,4494,4688,0,0.9514427576990547,0.24380933397417714,0.2881426225291526,-0.13082945095309745,1,0.3778170076219656,0.6221829923780344
39062,2018-02-04 00:00:00,5,Mirage,2319054,4494,4688,1,1.036069222050513,0.05774167392275148,0.2881426225291526,-0.1819136390315256,1,0.38938622020607605,0.610613779793924
39063,2018-02-04 00:00:00,8,Overpass,2319054,4494,4688,1,0.69756336464468,0.20659580196389207,0.2881426225291526,-0.030310638807829016,1,0.38691615669498547,0.6130838433050145
39064,2018-02-05 00:00:00,12,Cobblestone,2318424,5929,6902,1,0.8668162933475968,0.16938226995360692,0.23158610620656603,0.6792162836496166,1,0.3645475325405957,0.6354524674594043
39065,2018-02-05 00:00:00,3,Inferno,2318424,5929,6902,1,1.7130809368621787,0.34530078491131844,0.23158610620656603,-0.25721343912208633,1,0.3503298854317447,0.6496701145682553
39069,2018-02-04 00:00:00,6,Inferno,2319084,7842,7442,1,-1.9258570302505242,-1.2447319464372282,-2.0391598586851045,-0.31800185170527434,0,0.7623991457922609,0.23760085420773913
39070,2018-02-04 00:00:00,6,Cobblestone,2319084,7842,7442,1,-1.2488453154388588,-0.1283259861286742,-2.0391598586851045,-3.3623646282291673,0,0.7572385959906369,0.2427614040093631
39080,2018-02-04 00:00:00,-3,Inferno,2319075,8572,8361,0,-1.4180982441417755,-1.430799606488654,-0.5263022643552986,-0.2926321619009086,0,0.6598626093697065,0.34013739063029347
39084,2018-02-06 00:00:00,12,Mirage,2319129,6896,6745,1,0.6129369002932217,0.11976422727322669,-0.6019662948054941,-0.13967763694743385,1,0.46822004616586177,0.5317799538341382
39085,2018-02-07 00:00:00,10,Inferno,2319214,7820,8305,1,-2.8567481381165645,2.3835874245655724,0.8658108271406727,0.1386525647733098,1,0.32305825725877724,0.6769417427412228
39086,2018-02-07 00:00:00,-8,Inferno,2319186,8398,7924,0,-0.14870127886990173,-1.0586642863858027,-0.6815664831371027,-0.8403868281315332,0,0.615167595638847,0.38483240436115296
39087,2018-02-04 00:00:00,4,Train,2319028,7175,6651,1,-1.333471779790317,0.12751704644203612,-0.309000188033261,-0.20751229357209544,0,0.5257770422432102,0.47422295775678985
39088,2018-02-04 00:00:00,4,Overpass,2319028,7175,6651,1,-0.9949659223844846,0.18178678062370196,-0.309000188033261,-0.3035048861027797,0,0.5113093415373697,0.48869065846263027
39091,2018-02-05 00:00:00,7,Train,2319060,6137,5752,1,-0.06407481451844384,-0.05170989081338128,-0.2754185701455967,-0.2161235698137269,1,0.48548746306255586,0.5145125369374441
39092,2018-02-05 00:00:00,-6,Overpass,2319060,6137,5752,0,0.5283104359417637,-0.016685390097818796,-0.2754185701455967,0.010799807893476676,1,0.45129727193383873,0.5487027280661613
39093,2018-02-05 00:00:00,10,Inferno,2319060,6137,5752,1,0.02055164983301453,-0.05079779444058016,-0.2754185701455967,-0.09684385099134332,1,0.4779351997910176,0.5220648002089824
39096,2018-02-07 00:00:00,-7,Mirage,2319225,4501,6978,0,-2.3489893520078153,-0.546978221244382,-0.06800766323838423,-0.3701653095358724,0,0.602585202918616,0.39741479708138405
39104,2018-02-06 00:00:00,-8,Cobblestone,2319139,8637,4688,0,0.18980457853593083,0.4298769940256028,-0.018909004285179016,0.16825053621173613,1,0.40711062764903816,0.5928893723509618
39105,2018-02-06 00:00:00,-9,Cache,2319139,8637,4688,0,-0.48720713627573475,0.08875295059798911,-0.018909004285179016,-0.3439075208717042,1,0.47642631962084114,0.5235736803791589
39111,2018-02-04 00:00:00,-14,Cache,2319101,6639,8068,0,-0.8257129936815678,-0.5004613062315256,-1.2933849882408337,-0.20383824758562852,0,0.6262667690081538,0.3737332309918462
39114,2018-02-04 00:00:00,-12,Inferno,2319070,8518,6652,0,0.10517811418447244,-0.6865289662829512,1.0504788902983013,0.5191979118387964,1,0.39877338051753874,0.6012266194824613
39116,2018-02-04 00:00:00,7,Overpass,2319094,8068,6343,1,0.2744310428873892,2.662688914642711,1.6013353286946375,0.4640083767471401,1,0.16732154001753907,0.8326784599824609
39118,2018-02-06 00:00:00,3,Mirage,2319180,6134,7253,1,1.120695686401971,0.6779672074275037,0.7938184629361504,-0.10610176061900106,1,0.3062621633218463,0.6937378366781537
39119,2018-02-06 00:00:00,-6,Cache,2319180,6134,7253,0,0.8668162933475968,0.6159446540770285,0.7938184629361504,0.30002513859363633,1,0.3071676449975952,0.6928323550024048
39120,2018-02-06 00:00:00,-9,Train,2319180,6134,7253,0,0.3590575072388476,0.24380933397417714,0.7938184629361504,-0.14918850225517127,1,0.36388216519178374,0.6361178348082163
39122,2018-02-07 00:00:00,14,Overpass,2319197,8473,7865,1,-0.31795420757281845,0.8950461441541672,-0.35694633830264805,-3.9241220453258383,0,0.5575415243264716,0.4424584756735283
39125,2018-02-04 00:00:00,-8,Inferno,2319035,8723,8669,0,-0.31795420757281845,-1.6168672665400798,-0.6785012175071904,0.2950989852335651,0,0.6242477149410748,0.37575228505892516
39127,2018-02-05 00:00:00,10,Mirage,2319082,4688,4674,1,2.13621325861947,0.6159446540770285,-0.4732306286199344,0.6907913777869227,1,0.3371618626448737,0.6628381373551263
39128,2018-02-04 00:00:00,-13,Inferno,2319061,8564,8563,0,-0.7410865293301097,-1.6168672665400798,-0.19389975067156676,0.6967857404693566,0,0.5914020310063823,0.4085979689936177
39129,2018-02-04 00:00:00,-15,Train,2319061,8564,8563,0,-1.5873511728446918,-2.082036416668644,-0.19389975067156676,-0.31800185170527434,0,0.6866308136662571,0.31336918633374294
39136,2018-02-05 00:00:00,7,Train,2319143,5338,5946,1,1.797707401213637,-1.4721479753889708,0.4692071795634132,1.3056582957741354,1,0.40730581776119057,0.5926941822388094
39140,2018-02-05 00:00:00,6,Mirage,2318423,4608,6902,1,1.2053221507534293,0.467090526035888,0.307648385514627,0.04785352281922282,1,0.3458767854383017,0.6541232145616983
39141,2018-02-05 00:00:00,-2,Inferno,2318423,4608,6902,0,1.7977074012136365,0.5539221007265532,0.307648385514627,0.2213012489692166,1,0.3137209215263872,0.6862790784736128
39142,2018-02-05 00:00:00,2,Cobblestone,2318423,4608,6902,1,0.10517811418447244,0.40329589973254193,0.307648385514627,0.3671041342371325,1,0.38141790540725506,0.6185820945927449
39147,2018-02-07 00:00:00,-2,Train,2318830,8191,7421,0,1.9669603299165532,1.546282954334157,-1.819384570333772,-0.20524767479698194,1,0.4052581505410259,0.5947418494589741
39148,2018-02-07 00:00:00,5,Cobblestone,2318830,8191,7421,1,1.036069222050513,0.5229108240513157,-1.819384570333772,0.3211825407683571,0,0.5003695298597408,0.49963047014025913
39150,2018-02-05 00:00:00,8,Cache,2319125,6896,6570,1,1.6284544725107202,1.9184182744370082,1.1144024506220962,-0.4457694923866816,1,0.210002919754825,0.789997080245175
